Namespace(batch_size=64, beta1=0.5, cuda=False, data_path='../data/', dataset='cifar10', direction='b2a', epoch_count=1, input_nc=3, lamb=10, lr=0.0002, lr_decay_iters=50, lr_policy='lambda', ndf=8, ngf=8, niter=100, niter_decay=100, output_nc=3, result_path='../results/', seed=123, test_batch_size=1, threads=4)
===> Loading datasets
===> Building models
initialize network with normal
Load existing models
===> Epoch[1](181/390): Loss_G: 0.1021
===> Epoch[1](182/390): Loss_G: 0.1056
===> Epoch[1](183/390): Loss_G: 0.0989
===> Epoch[1](184/390): Loss_G: 0.1040
===> Epoch[1](185/390): Loss_G: 0.1051
===> Epoch[1](186/390): Loss_G: 0.1051
===> Epoch[1](187/390): Loss_G: 0.1097
===> Epoch[1](188/390): Loss_G: 0.1063
===> Epoch[1](189/390): Loss_G: 0.1201
===> Epoch[1](190/390): Loss_G: 0.1469
===> Epoch[1](191/390): Loss_G: 0.1011
===> Epoch[1](192/390): Loss_G: 0.1008
===> Epoch[1](193/390): Loss_G: 0.0849
===> Epoch[1](194/390): Loss_G: 0.1107
===> Epoch[1](195/390): Loss_G: 0.1087
===> Epoch[1](196/390): Loss_G: 0.1040
===> Epoch[1](197/390): Loss_G: 0.1023
===> Epoch[1](198/390): Loss_G: 0.1094
===> Epoch[1](199/390): Loss_G: 0.0834
===> Epoch[1](200/390): Loss_G: 0.1084
===> Epoch[1](201/390): Loss_G: 0.1001
===> Epoch[1](202/390): Loss_G: 0.0880
===> Epoch[1](203/390): Loss_G: 0.0976
===> Epoch[1](204/390): Loss_G: 0.0762
===> Epoch[1](205/390): Loss_G: 0.1154
===> Epoch[1](206/390): Loss_G: 0.1096
===> Epoch[1](207/390): Loss_G: 0.1013
===> Epoch[1](208/390): Loss_G: 0.1020
===> Epoch[1](209/390): Loss_G: 0.0987
===> Epoch[1](210/390): Loss_G: 0.0841
===> Epoch[1](211/390): Loss_G: 0.1136
===> Epoch[1](212/390): Loss_G: 0.0875
===> Epoch[1](213/390): Loss_G: 0.0975
===> Epoch[1](214/390): Loss_G: 0.0990
===> Epoch[1](215/390): Loss_G: 0.1067
===> Epoch[1](216/390): Loss_G: 0.0887
===> Epoch[1](217/390): Loss_G: 0.0924
===> Epoch[1](218/390): Loss_G: 0.1126
===> Epoch[1](219/390): Loss_G: 0.0838
===> Epoch[1](220/390): Loss_G: 0.0860
===> Epoch[1](221/390): Loss_G: 0.1170
===> Epoch[1](222/390): Loss_G: 0.1180
===> Epoch[1](223/390): Loss_G: 0.0918
===> Epoch[1](224/390): Loss_G: 0.1306
===> Epoch[1](225/390): Loss_G: 0.0927
===> Epoch[1](226/390): Loss_G: 0.0919
===> Epoch[1](227/390): Loss_G: 0.0989
===> Epoch[1](228/390): Loss_G: 0.0971
===> Epoch[1](229/390): Loss_G: 0.1355
===> Epoch[1](230/390): Loss_G: 0.0877
===> Epoch[1](231/390): Loss_G: 0.0872
===> Epoch[1](232/390): Loss_G: 0.1113
===> Epoch[1](233/390): Loss_G: 0.1142
===> Epoch[1](234/390): Loss_G: 0.1305
===> Epoch[1](235/390): Loss_G: 0.0995
===> Epoch[1](236/390): Loss_G: 0.1089
===> Epoch[1](237/390): Loss_G: 0.0927
===> Epoch[1](238/390): Loss_G: 0.0988
===> Epoch[1](239/390): Loss_G: 0.0860
===> Epoch[1](240/390): Loss_G: 0.0838
===> Epoch[1](241/390): Loss_G: 0.0909
===> Epoch[1](242/390): Loss_G: 0.1109
===> Epoch[1](243/390): Loss_G: 0.0902
===> Epoch[1](244/390): Loss_G: 0.1067
===> Epoch[1](245/390): Loss_G: 0.0749
===> Epoch[1](246/390): Loss_G: 0.0991
===> Epoch[1](247/390): Loss_G: 0.1001
===> Epoch[1](248/390): Loss_G: 0.0863
===> Epoch[1](249/390): Loss_G: 0.0959
===> Epoch[1](250/390): Loss_G: 0.1039
===> Epoch[1](251/390): Loss_G: 0.0860
===> Epoch[1](252/390): Loss_G: 0.0843
===> Epoch[1](253/390): Loss_G: 0.1452
===> Epoch[1](254/390): Loss_G: 0.0963
===> Epoch[1](255/390): Loss_G: 0.0969
===> Epoch[1](256/390): Loss_G: 0.0878
===> Epoch[1](257/390): Loss_G: 0.1123
===> Epoch[1](258/390): Loss_G: 0.0937
===> Epoch[1](259/390): Loss_G: 0.1076
===> Epoch[1](260/390): Loss_G: 0.0912
===> Epoch[1](261/390): Loss_G: 0.0847
===> Epoch[1](262/390): Loss_G: 0.0925
===> Epoch[1](263/390): Loss_G: 0.0849
===> Epoch[1](264/390): Loss_G: 0.1154
===> Epoch[1](265/390): Loss_G: 0.1019
===> Epoch[1](266/390): Loss_G: 0.0789
===> Epoch[1](267/390): Loss_G: 0.1030
===> Epoch[1](268/390): Loss_G: 0.0952
===> Epoch[1](269/390): Loss_G: 0.0751
===> Epoch[1](270/390): Loss_G: 0.1087
===> Epoch[1](271/390): Loss_G: 0.0981
===> Epoch[1](272/390): Loss_G: 0.0867
===> Epoch[1](273/390): Loss_G: 0.1356
===> Epoch[1](274/390): Loss_G: 0.0895
===> Epoch[1](275/390): Loss_G: 0.0788
===> Epoch[1](276/390): Loss_G: 0.0985
===> Epoch[1](277/390): Loss_G: 0.0875
===> Epoch[1](278/390): Loss_G: 0.1075
===> Epoch[1](279/390): Loss_G: 0.1122
===> Epoch[1](280/390): Loss_G: 0.0741
===> Epoch[1](281/390): Loss_G: 0.1177
===> Epoch[1](282/390): Loss_G: 0.1419
===> Epoch[1](283/390): Loss_G: 0.0924
===> Epoch[1](284/390): Loss_G: 0.0966
===> Epoch[1](285/390): Loss_G: 0.0831
===> Epoch[1](286/390): Loss_G: 0.1187
===> Epoch[1](287/390): Loss_G: 0.1022
===> Epoch[1](288/390): Loss_G: 0.0940
===> Epoch[1](289/390): Loss_G: 0.0818
===> Epoch[1](290/390): Loss_G: 0.1018
===> Epoch[1](291/390): Loss_G: 0.0807
