{'target': {'mean': array([0.6559602], dtype=float32), 'std': array([2.6216261], dtype=float32), 'min': array([-11.30689], dtype=float32), 'max': array([22.927853], dtype=float32)}, 'input': {'mean': array([-0.3984012], dtype=float32), 'std': array([0.27414447], dtype=float32), 'min': array([-0.5], dtype=float32), 'max': array([0.5], dtype=float32)}}
Dataset: 60000, 45000
initialize network with normal
../results/fusion/checkpoints/mnist_vanilla_4.pth
===> Epoch[10](300/704): MSE-pixel: 0.0376
===> Epoch[10](330/704): MSE-pixel: 0.0375
===> Epoch[10](360/704): MSE-pixel: 0.0377
===> Epoch[10](390/704): MSE-pixel: 0.0391
===> Epoch[10](420/704): MSE-pixel: 0.0400
===> Epoch[10](450/704): MSE-pixel: 0.0386
===> Epoch[10](480/704): MSE-pixel: 0.0373
===> Epoch[10](510/704): MSE-pixel: 0.0402
===> Epoch[10](540/704): MSE-pixel: 0.0374
===> Epoch[10](570/704): MSE-pixel: 0.0375
===> Epoch[10](600/704): MSE-pixel: 0.0410
===> Epoch[10](630/704): MSE-pixel: 0.0380
===> Epoch[10](660/704): MSE-pixel: 0.0384
===> Epoch[10](690/704): MSE-pixel: 0.0402
learning rate = 0.0010000
===> Epoch[11](0/704): MSE-pixel: 0.0393
===> Epoch[11](30/704): MSE-pixel: 0.0353
===> Epoch[11](60/704): MSE-pixel: 0.0376
===> Epoch[11](90/704): MSE-pixel: 0.0371
===> Epoch[11](120/704): MSE-pixel: 0.0396
===> Epoch[11](150/704): MSE-pixel: 0.0395
===> Epoch[11](180/704): MSE-pixel: 0.0394
===> Epoch[11](210/704): MSE-pixel: 0.0363
===> Epoch[11](240/704): MSE-pixel: 0.0392
===> Epoch[11](270/704): MSE-pixel: 0.0364
===> Epoch[11](300/704): MSE-pixel: 0.0402
===> Epoch[11](330/704): MSE-pixel: 0.0400
===> Epoch[11](360/704): MSE-pixel: 0.0398
===> Epoch[11](390/704): MSE-pixel: 0.0371
===> Epoch[11](420/704): MSE-pixel: 0.0385
===> Epoch[11](450/704): MSE-pixel: 0.0373
===> Epoch[11](480/704): MSE-pixel: 0.0415
===> Epoch[11](510/704): MSE-pixel: 0.0363
===> Epoch[11](540/704): MSE-pixel: 0.0389
===> Epoch[11](570/704): MSE-pixel: 0.0385
===> Epoch[11](600/704): MSE-pixel: 0.0356
===> Epoch[11](630/704): MSE-pixel: 0.0370
===> Epoch[11](660/704): MSE-pixel: 0.0374
===> Epoch[11](690/704): MSE-pixel: 0.0368
learning rate = 0.0010000
Saving
===> Epoch[12](0/704): MSE-pixel: 0.0416
===> Epoch[12](30/704): MSE-pixel: 0.0364
===> Epoch[12](60/704): MSE-pixel: 0.0366
===> Epoch[12](90/704): MSE-pixel: 0.0402
===> Epoch[12](120/704): MSE-pixel: 0.0386
===> Epoch[12](150/704): MSE-pixel: 0.0375
===> Epoch[12](180/704): MSE-pixel: 0.0356
===> Epoch[12](210/704): MSE-pixel: 0.0357
===> Epoch[12](240/704): MSE-pixel: 0.0374
===> Epoch[12](270/704): MSE-pixel: 0.0388
===> Epoch[12](300/704): MSE-pixel: 0.0404
===> Epoch[12](330/704): MSE-pixel: 0.0363
===> Epoch[12](360/704): MSE-pixel: 0.0392
===> Epoch[12](390/704): MSE-pixel: 0.0364
===> Epoch[12](420/704): MSE-pixel: 0.0387
===> Epoch[12](450/704): MSE-pixel: 0.0370
===> Epoch[12](480/704): MSE-pixel: 0.0379
===> Epoch[12](510/704): MSE-pixel: 0.0408
===> Epoch[12](540/704): MSE-pixel: 0.0349
===> Epoch[12](570/704): MSE-pixel: 0.0372
===> Epoch[12](600/704): MSE-pixel: 0.0374
===> Epoch[12](630/704): MSE-pixel: 0.0384
===> Epoch[12](660/704): MSE-pixel: 0.0371
===> Epoch[12](690/704): MSE-pixel: 0.0364
learning rate = 0.0010000
===> Epoch[13](0/704): MSE-pixel: 0.0385
===> Epoch[13](30/704): MSE-pixel: 0.0402
===> Epoch[13](60/704): MSE-pixel: 0.0382
===> Epoch[13](90/704): MSE-pixel: 0.0363
===> Epoch[13](120/704): MSE-pixel: 0.0358
===> Epoch[13](150/704): MSE-pixel: 0.0369
===> Epoch[13](180/704): MSE-pixel: 0.0378
===> Epoch[13](210/704): MSE-pixel: 0.0353
===> Epoch[13](240/704): MSE-pixel: 0.0378
===> Epoch[13](270/704): MSE-pixel: 0.0360
===> Epoch[13](300/704): MSE-pixel: 0.0368
===> Epoch[13](330/704): MSE-pixel: 0.0390
===> Epoch[13](360/704): MSE-pixel: 0.0333
===> Epoch[13](390/704): MSE-pixel: 0.0369
===> Epoch[13](420/704): MSE-pixel: 0.0358
===> Epoch[13](450/704): MSE-pixel: 0.0383
===> Epoch[13](480/704): MSE-pixel: 0.0376
===> Epoch[13](510/704): MSE-pixel: 0.0404
===> Epoch[13](540/704): MSE-pixel: 0.0368
===> Epoch[13](570/704): MSE-pixel: 0.0366
===> Epoch[13](600/704): MSE-pixel: 0.0354
===> Epoch[13](630/704): MSE-pixel: 0.0371
===> Epoch[13](660/704): MSE-pixel: 0.0357
===> Epoch[13](690/704): MSE-pixel: 0.0372
learning rate = 0.0010000
===> Epoch[14](0/704): MSE-pixel: 0.0374
===> Epoch[14](30/704): MSE-pixel: 0.0369
===> Epoch[14](60/704): MSE-pixel: 0.0347
===> Epoch[14](90/704): MSE-pixel: 0.0383
===> Epoch[14](120/704): MSE-pixel: 0.0378
===> Epoch[14](150/704): MSE-pixel: 0.0348
===> Epoch[14](180/704): MSE-pixel: 0.0352
===> Epoch[14](210/704): MSE-pixel: 0.0369
===> Epoch[14](240/704): MSE-pixel: 0.0360
===> Epoch[14](270/704): MSE-pixel: 0.0370
===> Epoch[14](300/704): MSE-pixel: 0.0366
===> Epoch[14](330/704): MSE-pixel: 0.0367
===> Epoch[14](360/704): MSE-pixel: 0.0362
===> Epoch[14](390/704): MSE-pixel: 0.0356
===> Epoch[14](420/704): MSE-pixel: 0.0357
===> Epoch[14](450/704): MSE-pixel: 0.0354
===> Epoch[14](480/704): MSE-pixel: 0.0392
===> Epoch[14](510/704): MSE-pixel: 0.0370
===> Epoch[14](540/704): MSE-pixel: 0.0350
===> Epoch[14](570/704): MSE-pixel: 0.0370
===> Epoch[14](600/704): MSE-pixel: 0.0370
===> Epoch[14](630/704): MSE-pixel: 0.0381
===> Epoch[14](660/704): MSE-pixel: 0.0344
===> Epoch[14](690/704): MSE-pixel: 0.0376
learning rate = 0.0010000
===> Epoch[15](0/704): MSE-pixel: 0.0433
===> Epoch[15](30/704): MSE-pixel: 0.0351
===> Epoch[15](60/704): MSE-pixel: 0.0365
===> Epoch[15](90/704): MSE-pixel: 0.0352
===> Epoch[15](120/704): MSE-pixel: 0.0368
===> Epoch[15](150/704): MSE-pixel: 0.0357
===> Epoch[15](180/704): MSE-pixel: 0.0347
===> Epoch[15](210/704): MSE-pixel: 0.0354
===> Epoch[15](240/704): MSE-pixel: 0.0356
===> Epoch[15](270/704): MSE-pixel: 0.0356
===> Epoch[15](300/704): MSE-pixel: 0.0349
===> Epoch[15](330/704): MSE-pixel: 0.0353
===> Epoch[15](360/704): MSE-pixel: 0.0353
===> Epoch[15](390/704): MSE-pixel: 0.0378
===> Epoch[15](420/704): MSE-pixel: 0.0391
===> Epoch[15](450/704): MSE-pixel: 0.0332
===> Epoch[15](480/704): MSE-pixel: 0.0371
===> Epoch[15](510/704): MSE-pixel: 0.0373
===> Epoch[15](540/704): MSE-pixel: 0.0345
===> Epoch[15](570/704): MSE-pixel: 0.0346
===> Epoch[15](600/704): MSE-pixel: 0.0379
===> Epoch[15](630/704): MSE-pixel: 0.0334
===> Epoch[15](660/704): MSE-pixel: 0.0364
===> Epoch[15](690/704): MSE-pixel: 0.0360
learning rate = 0.0010000
===> Epoch[16](0/704): MSE-pixel: 0.0384
===> Epoch[16](30/704): MSE-pixel: 0.0368
===> Epoch[16](60/704): MSE-pixel: 0.0340
===> Epoch[16](90/704): MSE-pixel: 0.0370
===> Epoch[16](120/704): MSE-pixel: 0.0347
