{'target': {'mean': array([-0.5029429], dtype=float32), 'std': array([0.6241994], dtype=float32), 'min': array([-5.971551], dtype=float32), 'max': array([4.968335], dtype=float32)}, 'input': {'mean': array([-0.39840025], dtype=float32), 'std': array([0.2741448], dtype=float32), 'min': array([-0.5], dtype=float32), 'max': array([0.5], dtype=float32)}}
Dataset: 60000, 45000
initialize network with normal
===> Epoch[7](660/704): MSE-pixel: 0.3563
===> Epoch[7](690/704): MSE-pixel: 0.3458
learning rate = 0.0100000
===> Epoch[8](0/704): MSE-pixel: 0.3409
===> Epoch[8](30/704): MSE-pixel: 0.3382
===> Epoch[8](60/704): MSE-pixel: 0.3534
===> Epoch[8](90/704): MSE-pixel: 0.3712
===> Epoch[8](120/704): MSE-pixel: 0.3463
===> Epoch[8](150/704): MSE-pixel: 0.3311
===> Epoch[8](180/704): MSE-pixel: 0.3614
===> Epoch[8](210/704): MSE-pixel: 0.3720
===> Epoch[8](240/704): MSE-pixel: 0.3493
===> Epoch[8](270/704): MSE-pixel: 0.3644
===> Epoch[8](300/704): MSE-pixel: 0.3510
===> Epoch[8](330/704): MSE-pixel: 0.3158
===> Epoch[8](360/704): MSE-pixel: 0.3388
===> Epoch[8](390/704): MSE-pixel: 0.3539
===> Epoch[8](420/704): MSE-pixel: 0.3345
===> Epoch[8](450/704): MSE-pixel: 0.3450
===> Epoch[8](480/704): MSE-pixel: 0.3396
===> Epoch[8](510/704): MSE-pixel: 0.3398
===> Epoch[8](540/704): MSE-pixel: 0.3316
===> Epoch[8](570/704): MSE-pixel: 0.3517
===> Epoch[8](600/704): MSE-pixel: 0.3464
===> Epoch[8](630/704): MSE-pixel: 0.3383
===> Epoch[8](660/704): MSE-pixel: 0.3476
===> Epoch[8](690/704): MSE-pixel: 0.3439
learning rate = 0.0100000
===> Epoch[9](0/704): MSE-pixel: 0.3373
===> Epoch[9](30/704): MSE-pixel: 0.3354
===> Epoch[9](60/704): MSE-pixel: 0.3540
===> Epoch[9](90/704): MSE-pixel: 0.3315
===> Epoch[9](120/704): MSE-pixel: 0.3312
===> Epoch[9](150/704): MSE-pixel: 0.3411
===> Epoch[9](180/704): MSE-pixel: 0.3451
===> Epoch[9](210/704): MSE-pixel: 0.3410
===> Epoch[9](240/704): MSE-pixel: 0.3392
===> Epoch[9](270/704): MSE-pixel: 0.3248
===> Epoch[9](300/704): MSE-pixel: 0.3704
===> Epoch[9](330/704): MSE-pixel: 0.3344
===> Epoch[9](360/704): MSE-pixel: 0.3545
===> Epoch[9](390/704): MSE-pixel: 0.3287
===> Epoch[9](420/704): MSE-pixel: 0.3273
===> Epoch[9](450/704): MSE-pixel: 0.3334
===> Epoch[9](480/704): MSE-pixel: 0.3385
===> Epoch[9](510/704): MSE-pixel: 0.3362
===> Epoch[9](540/704): MSE-pixel: 0.3427
===> Epoch[9](570/704): MSE-pixel: 0.3239
===> Epoch[9](600/704): MSE-pixel: 0.3357
===> Epoch[9](630/704): MSE-pixel: 0.3217
===> Epoch[9](660/704): MSE-pixel: 0.3422
===> Epoch[9](690/704): MSE-pixel: 0.3421
learning rate = 0.0100000
===> Epoch[10](0/704): MSE-pixel: 0.3356
===> Epoch[10](30/704): MSE-pixel: 0.3441
===> Epoch[10](60/704): MSE-pixel: 0.3356
===> Epoch[10](90/704): MSE-pixel: 0.3528
===> Epoch[10](120/704): MSE-pixel: 0.3374
===> Epoch[10](150/704): MSE-pixel: 0.3433
===> Epoch[10](180/704): MSE-pixel: 0.3361
===> Epoch[10](210/704): MSE-pixel: 0.3287
===> Epoch[10](240/704): MSE-pixel: 0.3281
===> Epoch[10](270/704): MSE-pixel: 0.3580
===> Epoch[10](300/704): MSE-pixel: 0.3386
===> Epoch[10](330/704): MSE-pixel: 0.3490
===> Epoch[10](360/704): MSE-pixel: 0.3559
===> Epoch[10](390/704): MSE-pixel: 0.3352
===> Epoch[10](420/704): MSE-pixel: 0.3469
===> Epoch[10](450/704): MSE-pixel: 0.3441
===> Epoch[10](480/704): MSE-pixel: 0.3309
===> Epoch[10](510/704): MSE-pixel: 0.3241
===> Epoch[10](540/704): MSE-pixel: 0.3393
===> Epoch[10](570/704): MSE-pixel: 0.3167
===> Epoch[10](600/704): MSE-pixel: 0.3304
===> Epoch[10](630/704): MSE-pixel: 0.3103
===> Epoch[10](660/704): MSE-pixel: 0.3461
===> Epoch[10](690/704): MSE-pixel: 0.3467
learning rate = 0.0100000
===> Epoch[11](0/704): MSE-pixel: 0.3440
===> Epoch[11](30/704): MSE-pixel: 0.3342
===> Epoch[11](60/704): MSE-pixel: 0.3141
===> Epoch[11](90/704): MSE-pixel: 0.3361
===> Epoch[11](120/704): MSE-pixel: 0.3519
===> Epoch[11](150/704): MSE-pixel: 0.3282
===> Epoch[11](180/704): MSE-pixel: 0.3261
===> Epoch[11](210/704): MSE-pixel: 0.3336
===> Epoch[11](240/704): MSE-pixel: 0.3323
===> Epoch[11](270/704): MSE-pixel: 0.3355
===> Epoch[11](300/704): MSE-pixel: 0.3376
===> Epoch[11](330/704): MSE-pixel: 0.3364
===> Epoch[11](360/704): MSE-pixel: 0.3227
===> Epoch[11](390/704): MSE-pixel: 0.3235
===> Epoch[11](420/704): MSE-pixel: 0.3290
===> Epoch[11](450/704): MSE-pixel: 0.3452
===> Epoch[11](480/704): MSE-pixel: 0.3374
===> Epoch[11](510/704): MSE-pixel: 0.3434
===> Epoch[11](540/704): MSE-pixel: 0.3307
===> Epoch[11](570/704): MSE-pixel: 0.3282
===> Epoch[11](600/704): MSE-pixel: 0.3452
===> Epoch[11](630/704): MSE-pixel: 0.3379
===> Epoch[11](660/704): MSE-pixel: 0.3148
===> Epoch[11](690/704): MSE-pixel: 0.3365
learning rate = 0.0100000
Saving
===> Epoch[12](0/704): MSE-pixel: 0.3384
===> Epoch[12](30/704): MSE-pixel: 0.3374
===> Epoch[12](60/704): MSE-pixel: 0.3376
===> Epoch[12](90/704): MSE-pixel: 0.3285
===> Epoch[12](120/704): MSE-pixel: 0.3408
===> Epoch[12](150/704): MSE-pixel: 0.3494
===> Epoch[12](180/704): MSE-pixel: 0.3329
===> Epoch[12](210/704): MSE-pixel: 0.3490
===> Epoch[12](240/704): MSE-pixel: 0.3301
===> Epoch[12](270/704): MSE-pixel: 0.3251
===> Epoch[12](300/704): MSE-pixel: 0.3375
===> Epoch[12](330/704): MSE-pixel: 0.3264
===> Epoch[12](360/704): MSE-pixel: 0.3315
===> Epoch[12](390/704): MSE-pixel: 0.3217
===> Epoch[12](420/704): MSE-pixel: 0.3432
===> Epoch[12](450/704): MSE-pixel: 0.3262
===> Epoch[12](480/704): MSE-pixel: 0.3345
===> Epoch[12](510/704): MSE-pixel: 0.3368
===> Epoch[12](540/704): MSE-pixel: 0.3454
===> Epoch[12](570/704): MSE-pixel: 0.3433
===> Epoch[12](600/704): MSE-pixel: 0.3278
===> Epoch[12](630/704): MSE-pixel: 0.3377
===> Epoch[12](660/704): MSE-pixel: 0.3212
===> Epoch[12](690/704): MSE-pixel: 0.3431
learning rate = 0.0100000
===> Epoch[13](0/704): MSE-pixel: 0.3125
===> Epoch[13](30/704): MSE-pixel: 0.3342
===> Epoch[13](60/704): MSE-pixel: 0.3182
===> Epoch[13](90/704): MSE-pixel: 0.3158
===> Epoch[13](120/704): MSE-pixel: 0.3270
===> Epoch[13](150/704): MSE-pixel: 0.3479
===> Epoch[13](180/704): MSE-pixel: 0.3470
===> Epoch[13](210/704): MSE-pixel: 0.3577
===> Epoch[13](240/704): MSE-pixel: 0.3292
===> Epoch[13](270/704): MSE-pixel: 0.3322
===> Epoch[13](300/704): MSE-pixel: 0.3254
===> Epoch[13](330/704): MSE-pixel: 0.3252
===> Epoch[13](360/704): MSE-pixel: 0.3298
===> Epoch[13](390/704): MSE-pixel: 0.3372
===> Epoch[13](420/704): MSE-pixel: 0.3117
===> Epoch[13](450/704): MSE-pixel: 0.3312
===> Epoch[13](480/704): MSE-pixel: 0.3467
===> Epoch[13](510/704): MSE-pixel: 0.3298
===> Epoch[13](540/704): MSE-pixel: 0.3475
===> Epoch[13](570/704): MSE-pixel: 0.3273
===> Epoch[13](600/704): MSE-pixel: 0.3283
===> Epoch[13](630/704): MSE-pixel: 0.3174
===> Epoch[13](660/704): MSE-pixel: 0.3367
===> Epoch[13](690/704): MSE-pixel: 0.3419
learning rate = 0.0100000
===> Epoch[14](0/704): MSE-pixel: 0.3337
===> Epoch[14](30/704): MSE-pixel: 0.3456
===> Epoch[14](60/704): MSE-pixel: 0.3347
===> Epoch[14](90/704): MSE-pixel: 0.3204
===> Epoch[14](120/704): MSE-pixel: 0.3304
===> Epoch[14](150/704): MSE-pixel: 0.3332
===> Epoch[14](180/704): MSE-pixel: 0.3208
===> Epoch[14](210/704): MSE-pixel: 0.3370
===> Epoch[14](240/704): MSE-pixel: 0.3380
===> Epoch[14](270/704): MSE-pixel: 0.3177
===> Epoch[14](300/704): MSE-pixel: 0.3402
===> Epoch[14](330/704): MSE-pixel: 0.3176
===> Epoch[14](360/704): MSE-pixel: 0.3348
===> Epoch[14](390/704): MSE-pixel: 0.3408
===> Epoch[14](420/704): MSE-pixel: 0.3410
===> Epoch[14](450/704): MSE-pixel: 0.3252
===> Epoch[14](480/704): MSE-pixel: 0.3283
===> Epoch[14](510/704): MSE-pixel: 0.3228
===> Epoch[14](540/704): MSE-pixel: 0.3336
===> Epoch[14](570/704): MSE-pixel: 0.3364
===> Epoch[14](600/704): MSE-pixel: 0.3422
===> Epoch[14](630/704): MSE-pixel: 0.3487
===> Epoch[14](660/704): MSE-pixel: 0.3441
===> Epoch[14](690/704): MSE-pixel: 0.3314
learning rate = 0.0100000
===> Epoch[15](0/704): MSE-pixel: 0.3466
===> Epoch[15](30/704): MSE-pixel: 0.3213
===> Epoch[15](60/704): MSE-pixel: 0.3251
===> Epoch[15](90/704): MSE-pixel: 0.3285
===> Epoch[15](120/704): MSE-pixel: 0.3127
===> Epoch[15](150/704): MSE-pixel: 0.3104
===> Epoch[15](180/704): MSE-pixel: 0.3294
===> Epoch[15](210/704): MSE-pixel: 0.3227
===> Epoch[15](240/704): MSE-pixel: 0.3314
===> Epoch[15](270/704): MSE-pixel: 0.3088
===> Epoch[15](300/704): MSE-pixel: 0.3181
===> Epoch[15](330/704): MSE-pixel: 0.3312
===> Epoch[15](360/704): MSE-pixel: 0.3254
===> Epoch[15](390/704): MSE-pixel: 0.3382
===> Epoch[15](420/704): MSE-pixel: 0.3273
===> Epoch[15](450/704): MSE-pixel: 0.3457
===> Epoch[15](480/704): MSE-pixel: 0.3302
===> Epoch[15](510/704): MSE-pixel: 0.3278
===> Epoch[15](540/704): MSE-pixel: 0.3267
===> Epoch[15](570/704): MSE-pixel: 0.3359
===> Epoch[15](600/704): MSE-pixel: 0.3259
===> Epoch[15](630/704): MSE-pixel: 0.3228
===> Epoch[15](660/704): MSE-pixel: 0.3214
===> Epoch[15](690/704): MSE-pixel: 0.3212
learning rate = 0.0100000
===> Epoch[16](0/704): MSE-pixel: 0.3433
===> Epoch[16](30/704): MSE-pixel: 0.3217
===> Epoch[16](60/704): MSE-pixel: 0.3093
===> Epoch[16](90/704): MSE-pixel: 0.3169
===> Epoch[16](120/704): MSE-pixel: 0.3117
===> Epoch[16](150/704): MSE-pixel: 0.3306
===> Epoch[16](180/704): MSE-pixel: 0.3263
===> Epoch[16](210/704): MSE-pixel: 0.3247
===> Epoch[16](240/704): MSE-pixel: 0.3263
===> Epoch[16](270/704): MSE-pixel: 0.3173
===> Epoch[16](300/704): MSE-pixel: 0.3329
===> Epoch[16](330/704): MSE-pixel: 0.3256
===> Epoch[16](360/704): MSE-pixel: 0.3353
===> Epoch[16](390/704): MSE-pixel: 0.3366
===> Epoch[16](420/704): MSE-pixel: 0.3113
===> Epoch[16](450/704): MSE-pixel: 0.3406
===> Epoch[16](480/704): MSE-pixel: 0.3260
===> Epoch[16](510/704): MSE-pixel: 0.3396
===> Epoch[16](540/704): MSE-pixel: 0.3308
===> Epoch[16](570/704): MSE-pixel: 0.3371
===> Epoch[16](600/704): MSE-pixel: 0.3294
===> Epoch[16](630/704): MSE-pixel: 0.3277
===> Epoch[16](660/704): MSE-pixel: 0.3244
===> Epoch[16](690/704): MSE-pixel: 0.3564
learning rate = 0.0100000
===> Epoch[17](0/704): MSE-pixel: 0.3299
===> Epoch[17](30/704): MSE-pixel: 0.3278
===> Epoch[17](60/704): MSE-pixel: 0.3201
===> Epoch[17](90/704): MSE-pixel: 0.3392
===> Epoch[17](120/704): MSE-pixel: 0.3136
===> Epoch[17](150/704): MSE-pixel: 0.3249
===> Epoch[17](180/704): MSE-pixel: 0.2984
===> Epoch[17](210/704): MSE-pixel: 0.3241
===> Epoch[17](240/704): MSE-pixel: 0.3104
===> Epoch[17](270/704): MSE-pixel: 0.3423
===> Epoch[17](300/704): MSE-pixel: 0.3229
===> Epoch[17](330/704): MSE-pixel: 0.3140
===> Epoch[17](360/704): MSE-pixel: 0.3130
===> Epoch[17](390/704): MSE-pixel: 0.3125
===> Epoch[17](420/704): MSE-pixel: 0.3328
===> Epoch[17](450/704): MSE-pixel: 0.3095
===> Epoch[17](480/704): MSE-pixel: 0.3382
===> Epoch[17](510/704): MSE-pixel: 0.3443
===> Epoch[17](540/704): MSE-pixel: 0.3110
===> Epoch[17](570/704): MSE-pixel: 0.3335
===> Epoch[17](600/704): MSE-pixel: 0.3268
===> Epoch[17](630/704): MSE-pixel: 0.3165
===> Epoch[17](660/704): MSE-pixel: 0.3123
===> Epoch[17](690/704): MSE-pixel: 0.3432
learning rate = 0.0100000
===> Epoch[18](0/704): MSE-pixel: 0.3317
===> Epoch[18](30/704): MSE-pixel: 0.3355
===> Epoch[18](60/704): MSE-pixel: 0.3264
===> Epoch[18](90/704): MSE-pixel: 0.3492
===> Epoch[18](120/704): MSE-pixel: 0.3296
===> Epoch[18](150/704): MSE-pixel: 0.3289
===> Epoch[18](180/704): MSE-pixel: 0.3232
===> Epoch[18](210/704): MSE-pixel: 0.3156
===> Epoch[18](240/704): MSE-pixel: 0.3227
===> Epoch[18](270/704): MSE-pixel: 0.3262
===> Epoch[18](300/704): MSE-pixel: 0.3155
===> Epoch[18](330/704): MSE-pixel: 0.3322
===> Epoch[18](360/704): MSE-pixel: 0.3314
===> Epoch[18](390/704): MSE-pixel: 0.3349
===> Epoch[18](420/704): MSE-pixel: 0.3196
===> Epoch[18](450/704): MSE-pixel: 0.3206
===> Epoch[18](480/704): MSE-pixel: 0.3109
===> Epoch[18](510/704): MSE-pixel: 0.3217
===> Epoch[18](540/704): MSE-pixel: 0.3279
===> Epoch[18](570/704): MSE-pixel: 0.3289
===> Epoch[18](600/704): MSE-pixel: 0.3291
===> Epoch[18](630/704): MSE-pixel: 0.3156
===> Epoch[18](660/704): MSE-pixel: 0.3090
===> Epoch[18](690/704): MSE-pixel: 0.3149
learning rate = 0.0100000
===> Epoch[19](0/704): MSE-pixel: 0.3052
===> Epoch[19](30/704): MSE-pixel: 0.3245
===> Epoch[19](60/704): MSE-pixel: 0.3289
===> Epoch[19](90/704): MSE-pixel: 0.3160
===> Epoch[19](120/704): MSE-pixel: 0.3292
===> Epoch[19](150/704): MSE-pixel: 0.3141
===> Epoch[19](180/704): MSE-pixel: 0.3170
===> Epoch[19](210/704): MSE-pixel: 0.3277
===> Epoch[19](240/704): MSE-pixel: 0.3236
===> Epoch[19](270/704): MSE-pixel: 0.3129
