{'target': {'mean': array([-0.4510391], dtype=float32), 'std': array([0.38355893], dtype=float32), 'min': array([-4.1388025], dtype=float32), 'max': array([3.3192787], dtype=float32)}, 'input': {'mean': array([-0.39840052], dtype=float32), 'std': array([0.27414468], dtype=float32), 'min': array([-0.5], dtype=float32), 'max': array([0.5], dtype=float32)}}
Dataset: 60000, 45000
initialize network with normal
===> Epoch[11](60/704): MSE-pixel: 0.2078
===> Epoch[11](90/704): MSE-pixel: 0.2139
===> Epoch[11](120/704): MSE-pixel: 0.2178
===> Epoch[11](150/704): MSE-pixel: 0.2176
===> Epoch[11](180/704): MSE-pixel: 0.2074
===> Epoch[11](210/704): MSE-pixel: 0.2186
===> Epoch[11](240/704): MSE-pixel: 0.2096
===> Epoch[11](270/704): MSE-pixel: 0.2008
===> Epoch[11](300/704): MSE-pixel: 0.2252
===> Epoch[11](330/704): MSE-pixel: 0.2032
===> Epoch[11](360/704): MSE-pixel: 0.2095
===> Epoch[11](390/704): MSE-pixel: 0.2108
===> Epoch[11](420/704): MSE-pixel: 0.2176
===> Epoch[11](450/704): MSE-pixel: 0.2129
===> Epoch[11](480/704): MSE-pixel: 0.2218
===> Epoch[11](510/704): MSE-pixel: 0.2230
===> Epoch[11](540/704): MSE-pixel: 0.2152
===> Epoch[11](570/704): MSE-pixel: 0.2229
===> Epoch[11](600/704): MSE-pixel: 0.2193
===> Epoch[11](630/704): MSE-pixel: 0.1956
===> Epoch[11](660/704): MSE-pixel: 0.1987
===> Epoch[11](690/704): MSE-pixel: 0.2091
learning rate = 0.0010000
Saving
===> Epoch[12](0/704): MSE-pixel: 0.2122
===> Epoch[12](30/704): MSE-pixel: 0.2143
===> Epoch[12](60/704): MSE-pixel: 0.2147
===> Epoch[12](90/704): MSE-pixel: 0.2128
===> Epoch[12](120/704): MSE-pixel: 0.1789
===> Epoch[12](150/704): MSE-pixel: 0.1970
===> Epoch[12](180/704): MSE-pixel: 0.1977
===> Epoch[12](210/704): MSE-pixel: 0.2085
===> Epoch[12](240/704): MSE-pixel: 0.2061
===> Epoch[12](270/704): MSE-pixel: 0.1996
===> Epoch[12](300/704): MSE-pixel: 0.2048
===> Epoch[12](330/704): MSE-pixel: 0.1983
===> Epoch[12](360/704): MSE-pixel: 0.2114
===> Epoch[12](390/704): MSE-pixel: 0.1851
===> Epoch[12](420/704): MSE-pixel: 0.2100
===> Epoch[12](450/704): MSE-pixel: 0.2050
===> Epoch[12](480/704): MSE-pixel: 0.1871
===> Epoch[12](510/704): MSE-pixel: 0.2125
===> Epoch[12](540/704): MSE-pixel: 0.2064
===> Epoch[12](570/704): MSE-pixel: 0.2032
===> Epoch[12](600/704): MSE-pixel: 0.1933
===> Epoch[12](630/704): MSE-pixel: 0.1902
===> Epoch[12](660/704): MSE-pixel: 0.1962
===> Epoch[12](690/704): MSE-pixel: 0.1981
learning rate = 0.0010000
===> Epoch[13](0/704): MSE-pixel: 0.2069
===> Epoch[13](30/704): MSE-pixel: 0.2083
===> Epoch[13](60/704): MSE-pixel: 0.1946
===> Epoch[13](90/704): MSE-pixel: 0.2109
===> Epoch[13](120/704): MSE-pixel: 0.2042
===> Epoch[13](150/704): MSE-pixel: 0.2218
===> Epoch[13](180/704): MSE-pixel: 0.2082
===> Epoch[13](210/704): MSE-pixel: 0.2070
===> Epoch[13](240/704): MSE-pixel: 0.2197
===> Epoch[13](270/704): MSE-pixel: 0.2190
===> Epoch[13](300/704): MSE-pixel: 0.2012
===> Epoch[13](330/704): MSE-pixel: 0.1847
===> Epoch[13](360/704): MSE-pixel: 0.1953
===> Epoch[13](390/704): MSE-pixel: 0.1910
===> Epoch[13](420/704): MSE-pixel: 0.1919
===> Epoch[13](450/704): MSE-pixel: 0.2128
===> Epoch[13](480/704): MSE-pixel: 0.1938
===> Epoch[13](510/704): MSE-pixel: 0.1991
===> Epoch[13](540/704): MSE-pixel: 0.1917
===> Epoch[13](570/704): MSE-pixel: 0.2007
===> Epoch[13](600/704): MSE-pixel: 0.1779
===> Epoch[13](630/704): MSE-pixel: 0.2110
===> Epoch[13](660/704): MSE-pixel: 0.2013
===> Epoch[13](690/704): MSE-pixel: 0.1892
learning rate = 0.0010000
===> Epoch[14](0/704): MSE-pixel: 0.1959
===> Epoch[14](30/704): MSE-pixel: 0.1877
===> Epoch[14](60/704): MSE-pixel: 0.2056
===> Epoch[14](90/704): MSE-pixel: 0.2059
===> Epoch[14](120/704): MSE-pixel: 0.1940
===> Epoch[14](150/704): MSE-pixel: 0.2059
===> Epoch[14](180/704): MSE-pixel: 0.1778
===> Epoch[14](210/704): MSE-pixel: 0.2033
===> Epoch[14](240/704): MSE-pixel: 0.1942
===> Epoch[14](270/704): MSE-pixel: 0.1995
===> Epoch[14](300/704): MSE-pixel: 0.2042
===> Epoch[14](330/704): MSE-pixel: 0.1783
===> Epoch[14](360/704): MSE-pixel: 0.1768
===> Epoch[14](390/704): MSE-pixel: 0.1891
===> Epoch[14](420/704): MSE-pixel: 0.2070
===> Epoch[14](450/704): MSE-pixel: 0.1939
===> Epoch[14](480/704): MSE-pixel: 0.1932
===> Epoch[14](510/704): MSE-pixel: 0.2144
===> Epoch[14](540/704): MSE-pixel: 0.1791
===> Epoch[14](570/704): MSE-pixel: 0.2009
===> Epoch[14](600/704): MSE-pixel: 0.2003
===> Epoch[14](630/704): MSE-pixel: 0.2027
===> Epoch[14](660/704): MSE-pixel: 0.1913
===> Epoch[14](690/704): MSE-pixel: 0.2172
learning rate = 0.0010000
===> Epoch[15](0/704): MSE-pixel: 0.2288
===> Epoch[15](30/704): MSE-pixel: 0.1818
===> Epoch[15](60/704): MSE-pixel: 0.1912
===> Epoch[15](90/704): MSE-pixel: 0.1795
===> Epoch[15](120/704): MSE-pixel: 0.1974
===> Epoch[15](150/704): MSE-pixel: 0.1969
===> Epoch[15](180/704): MSE-pixel: 0.2033
===> Epoch[15](210/704): MSE-pixel: 0.1903
===> Epoch[15](240/704): MSE-pixel: 0.2061
===> Epoch[15](270/704): MSE-pixel: 0.1890
===> Epoch[15](300/704): MSE-pixel: 0.1984
===> Epoch[15](330/704): MSE-pixel: 0.1890
===> Epoch[15](360/704): MSE-pixel: 0.1936
===> Epoch[15](390/704): MSE-pixel: 0.1949
===> Epoch[15](420/704): MSE-pixel: 0.2100
===> Epoch[15](450/704): MSE-pixel: 0.2143
===> Epoch[15](480/704): MSE-pixel: 0.1887
===> Epoch[15](510/704): MSE-pixel: 0.1952
===> Epoch[15](540/704): MSE-pixel: 0.1970
===> Epoch[15](570/704): MSE-pixel: 0.1968
===> Epoch[15](600/704): MSE-pixel: 0.1979
===> Epoch[15](630/704): MSE-pixel: 0.1967
===> Epoch[15](660/704): MSE-pixel: 0.2123
===> Epoch[15](690/704): MSE-pixel: 0.2073
learning rate = 0.0010000
===> Epoch[16](0/704): MSE-pixel: 0.1889
===> Epoch[16](30/704): MSE-pixel: 0.1826
===> Epoch[16](60/704): MSE-pixel: 0.1863
===> Epoch[16](90/704): MSE-pixel: 0.1998
===> Epoch[16](120/704): MSE-pixel: 0.1800
===> Epoch[16](150/704): MSE-pixel: 0.1848
===> Epoch[16](180/704): MSE-pixel: 0.1895
===> Epoch[16](210/704): MSE-pixel: 0.1999
===> Epoch[16](240/704): MSE-pixel: 0.1876
===> Epoch[16](270/704): MSE-pixel: 0.1790
===> Epoch[16](300/704): MSE-pixel: 0.2082
===> Epoch[16](330/704): MSE-pixel: 0.1906
===> Epoch[16](360/704): MSE-pixel: 0.1939
===> Epoch[16](390/704): MSE-pixel: 0.1841
===> Epoch[16](420/704): MSE-pixel: 0.1887
===> Epoch[16](450/704): MSE-pixel: 0.1694
===> Epoch[16](480/704): MSE-pixel: 0.1831
===> Epoch[16](510/704): MSE-pixel: 0.1888
===> Epoch[16](540/704): MSE-pixel: 0.2155
===> Epoch[16](570/704): MSE-pixel: 0.1924
===> Epoch[16](600/704): MSE-pixel: 0.1989
===> Epoch[16](630/704): MSE-pixel: 0.1878
===> Epoch[16](660/704): MSE-pixel: 0.1870
===> Epoch[16](690/704): MSE-pixel: 0.1959
learning rate = 0.0010000
===> Epoch[17](0/704): MSE-pixel: 0.2022
===> Epoch[17](30/704): MSE-pixel: 0.1764
===> Epoch[17](60/704): MSE-pixel: 0.1903
===> Epoch[17](90/704): MSE-pixel: 0.2012
===> Epoch[17](120/704): MSE-pixel: 0.1970
===> Epoch[17](150/704): MSE-pixel: 0.1893
